"","Month_Yr","Brazil","France","Germany","India","Italy","Russia","Spain","Turkey","United Kingdom","United States"
"1","2020 04 Apr","5.87%","12.01%","2.84%","3.20%","13.04%","0.84%","10.13%","2.27%","12.74%","4.56%"
"2","2020 05 May","6.60%","15.20%","4.47%","3.13%","14.07%","0.97%","11.81%","2.77%","14.43%","5.94%"
"3","2020 06 Jun","4.97%","15.12%","4.67%","2.99%","14.47%","1.32%","11.29%","2.69%","14.05%","5.45%"
"4","2020 07 Jul","3.83%","14.23%","4.50%","2.60%","14.36%","1.57%","10.94%","2.50%","15.37%","3.97%"
"5","2020 08 Aug","3.28%","11.99%","4.09%","1.95%","13.87%","1.70%","8.24%","2.41%","13.82%","3.18%"
"6","2020 09 Sep","3.04%","7.41%","3.56%","1.64%","12.34%","1.74%","5.16%","2.44%","11.10%","2.97%"
"7","2020 10 Oct","2.95%","4.06%","2.75%","1.52%","9.35%","1.74%","3.66%","2.65%","6.79%","2.74%"
"8","2020 11 Nov","2.82%","2.29%","1.64%","1.50%","4.14%","1.70%","2.80%","2.70%","3.92%","2.25%"
"9","2020 12 Dec","2.63%","2.39%","1.69%","1.47%","3.50%","1.77%","2.71%","1.19%","3.37%","1.84%"
"10","2021 01 Jan","2.49%","2.40%","2.24%","1.40%","3.50%","1.82%","2.40%","0.99%","2.72%","1.70%"
"11","2021 02 Feb","2.40%","2.31%","2.76%","1.40%","3.44%","1.96%","2.11%","1.10%","2.87%","1.76%"
"12","2021 03 Mar","2.44%","2.19%","2.82%","1.39%","3.19%","2.09%","2.29%","1.01%","2.91%","1.80%"
"13","2021 04 Apr","2.64%","1.93%","2.57%","1.21%","3.00%","2.23%","2.26%","0.86%","2.90%","1.80%"
"14","2021 05 May","2.80%","1.82%","2.40%","1.11%","3.00%","2.32%","2.20%","0.88%","2.89%","1.80%"
"15","2021 06 Jun","2.80%","1.90%","2.40%","1.26%","3.00%","2.40%","2.16%","0.90%","2.77%","1.80%"
"16","2021 07 Jul","2.80%","1.87%","2.40%","1.30%","3.00%","2.47%","1.99%","0.90%","2.44%","1.80%"
"17","2021 08 Aug","2.80%","1.74%","2.39%","1.30%","2.90%","2.57%","1.76%","0.90%","2.10%","1.69%"
"18","2021 09 Sep","2.80%","1.70%","2.26%","1.30%","2.80%","2.69%","1.70%","0.90%","1.85%","1.60%"
"19","2021 10 Oct","2.80%","1.61%","2.16%","1.30%","2.80%","2.80%","1.70%","0.90%","1.66%","1.60%"
"20","2021 11 Nov","2.80%","1.60%","1.91%","1.32%","2.74%","2.80%","1.70%","0.90%","1.47%","1.60%"
"21","2021 12 Dec","2.80%","1.43%","1.61%","1.40%","2.54%","2.90%","1.63%","0.90%","1.33%","1.60%"
"22","2022 01 Jan","2.69%","0.96%","1.42%","1.31%","1.75%","2.95%","1.16%","0.82%","1.02%","1.32%"
"23","2022 02 Feb","2.33%","0.62%","1.00%","1.20%","1.25%","2.45%","0.90%","0.70%","0.90%","1.20%"
