"","Month_Yr","Brazil","France","Germany","India","Italy","Russia","Spain","Turkey","United Kingdom","United States"
"1","2020 04 Apr",2326,16713,3994,505,21817,357,18656,1717,14032,33497
"2","2020 05 May",16210,27261,7850,2976,31431,2616,27115,4014,33962,86964
"3","2020 06 Jun",44434,29430,8800,10878,34262,7080,27584,4838,41764,116208
"4","2020 07 Jul",75424,30076,9075,25583,34992,11709,28411,5416,45092,138128
"5","2020 08 Aug",107008,30422,9229,50117,35314,15514,28684,5972,44011,168732
"6","2020 09 Sep",132466,31080,9372,80242,35639,18679,30113,7156,41780,194966
"7","2020 10 Oct",151670,33376,9770,110063,36552,23359,33486,9069,43562,217088
"8","2020 11 Nov",165979,44730,13022,130053,45946,33172,40936,11698,52284,247767
"9","2020 12 Dec",183353,58927,24107,143908,65619,47613,48193,17015,65451,305473
"10","2021 01 Jan",207375,69617,44742,151678,80789,63271,53555,23413,87092,388061
"11","2021 02 Feb",238097,81345,64447,155644,93136,78152,64351,27313,115840,478602
"12","2021 03 Mar",283901,91188,73733,159337,103100,91080,72702,29777,125594,535120
"13","2021 04 Apr",363667,100111,79587,178176,115589,102739,76785,35284,127411,564789
"14","2021 05 May",433691,107437,85985,270718,123805,113615,79202,44274,127918,585384
"15","2021 06 Jun",490744,110595,89963,372178,126977,125244,80495,48770,128194,600148
"16","2021 07 Jul",538003,111609,91325,412366,127822,143797,81097,50423,128962,608389
"17","2021 08 Aug",568376,113037,91898,431351,128487,167240,82670,53351,131266,623034
"18","2021 09 Sep",588045,116216,92822,443527,130030,190868,85475,60197,134834,665871
"19","2021 10 Oct",602422,118425,94592,452132,131486,217349,86916,67136,138793,721678
"20","2021 11 Nov",611136,119235,98243,463741,132857,251320,87700,73662,143323,763562
"21","2021 12 Dec",617177,122043,107020,476196,135292,286736,88609,79653,147226,802733
"22","2022 01 Jan",621612,127765,115098,486380,140890,313022,90857,84497,152087,849884
"23","2022 02 Feb",638036,135605,120077,507203,150703,333129,96172,90427,159883,918614
