"","Month_Yr","Brazil","France","Germany","India","Italy","Russia","Spain","Turkey","United_Kingdom","United_States"
"1","2020 04 Apr",1.11,24.95,4.82,0.04,36.1,0.25,39.93,2.09,21.1,10.24
"2","2020 05 May",7.74,40.7,9.47,0.22,52.01,1.81,58.03,4.88,51.08,26.58
"3","2020 06 Jun",21.21,43.93,10.61,0.8,56.69,4.9,59.04,5.88,62.81,35.52
"4","2020 07 Jul",36.01,44.9,10.94,1.89,57.9,8.1,60.81,6.58,67.82,42.22
"5","2020 08 Aug",51.08,45.41,11.13,3.7,58.44,10.74,61.39,7.26,66.19,51.57
"6","2020 09 Sep",63.24,46.4,11.3,5.93,58.97,12.93,64.45,8.69,62.84,59.59
"7","2020 10 Oct",72.41,49.83,11.78,8.14,60.48,16.17,71.67,11.02,65.52,66.35
"8","2020 11 Nov",79.24,66.78,15.7,9.61,76.03,22.96,87.61,14.21,78.64,75.73
"9","2020 12 Dec",87.53,87.97,29.07,10.64,108.58,32.96,103.15,20.67,98.44,93.37
"10","2021 01 Jan",99,103.92,53.95,11.21,133.69,43.79,114.62,28.44,130.99,118.61
"11","2021 02 Feb",113.67,121.44,77.72,11.51,154.12,54.09,137.73,33.18,174.23,146.29
"12","2021 03 Mar",135.53,136.13,88.91,11.78,170.61,63.04,155.6,36.17,188.89,163.56
"13","2021 04 Apr",172.84,149.36,95.83,13.09,191.52,71.14,163.63,42.52,191.06,172.31
"14","2021 05 May",205.49,160.21,103.43,19.81,205.33,78.69,168.24,53.07,191.4,178.34
"15","2021 06 Jun",232.53,164.92,108.22,27.24,210.58,86.75,170.99,58.46,191.81,182.84
"16","2021 07 Jul",254.92,166.43,109.86,30.18,211.99,99.6,172.27,60.44,192.96,185.35
"17","2021 08 Aug",269.31,168.56,110.54,31.57,213.09,115.84,175.61,63.95,196.4,189.81
"18","2021 09 Sep",278.63,173.3,111.66,32.46,215.65,132.2,181.56,72.15,201.74,202.86
"19","2021 10 Oct",285.44,176.59,113.78,33.09,218.06,150.55,184.63,80.47,207.67,219.86
"20","2021 11 Nov",289.57,177.8,118.18,33.94,220.34,174.07,186.29,88.29,214.45,232.62
"21","2021 12 Dec",292.43,181.99,128.73,34.85,224.38,198.61,188.22,95.47,220.28,244.56
"22","2022 01 Jan",294.53,190.52,138.45,35.59,233.66,216.81,193,101.28,227.56,258.92
"23","2022 02 Feb",303.09,202.97,144.89,37.19,250.85,231.81,205.27,109.04,239.63,281.16
"24","2022 03 Mar",309.3,209.51,149.88,37.71,258.75,242.25,213.8,114.64,243.64,292.85
